0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0.91206	0.34574	0.12463	3.0069e-05	0.44764	0.89884	0.043998	0.12463	0.018934	0.043998	0.32824	0.07233	0.28586	0.067859	0.55007	0.54035	0.73655	0.48705	0.95699	0.65765
2	0.28755	0.60883	0.42849	0.014444	0.44219	0.087188	0.28048	0.42849	0.96583	0.28048	0.53455	0.48873	0.78853	0.89513	0.0094949	0.0015769	0.51836	0.94338	0.070311	0.020034
3	0.43291	0.72438	0.65631	0.12178	0.28087	0.035265	0.5317	0.65631	0.15712	0.5317	0.15339	0.66706	0.6017	0.96167	0.77276	0.6935	0.56939	0.66306	0.22742	0.3755
4	0.45328	0.33826	0.11907	2.3934e-05	0.44193	0.91342	0.041087	0.11907	0.034961	0.041087	0.56785	0.76836	0.02391	0.58794	0.4715	0.7485	0.61599	0.06975	0.41581	0.66787
5	0.64151	0.80011	0.86022	0.47103	0.11293	0.27998	0.79784	0.86022	0.10485	0.79784	0.62775	0.45589	0.42689	0.54324	0.5694	0.55985	0.64196	0.60937	0.92045	0.16409
6	0.57012	0.29516	0.089775	5.8316e-06	0.40416	0.97589	0.026899	0.089775	0.20801	0.026899	0.97124	0.13094	0.58022	0.92046	0.95522	0.26558	0.029929	0.2996	0.3416	0.48799
7	0.48087	0.55812	0.3506	0.0052976	0.47921	0.22649	0.2076	0.3506	0.95792	0.2076	0.97353	0.44797	0.57097	0.98159	0.39403	0.46405	0.19263	0.4943	0.066806	0.36319
8	0.30703	0.40369	0.17268	0.00015354	0.48251	0.75303	0.071758	0.17268	0.063522	0.071758	0.69869	0.72126	0.73311	0.71472	0.43371	0.40731	0.69586	0.014591	0.06826	0.75439
9	0.1501	0.54373	0.33049	0.0039424	0.48623	0.27334	0.18999	0.33049	0.90406	0.18999	0.15722	0.37766	0.37305	0.29621	0.63962	0.83421	0.58317	0.042321	0.96935	0.83942
10	0.23157	0.758	0.74001	0.22192	0.21255	0.11523	0.63659	0.74001	0.008575	0.63659	0.89354	0.13343	0.45887	0.34388	0.49219	0.27588	0.68287	0.37245	0.9796	0.28815
11	0.96499	0.21531	0.047091	2.3157e-07	0.31507	0.98929	0.010219	0.047091	0.70143	0.010219	0.85949	0.64479	0.086985	0.90495	0.03039	0.73224	0.16275	0.36054	0.52386	0.84641
12	0.61742	0.81607	0.91122	0.62823	0.071106	0.35923	0.86983	0.91122	0.22985	0.86983	0.054447	0.64684	0.43095	0.32929	0.11209	0.37615	0.69976	0.27661	0.83038	0.011511
13	0.99081	0.63442	0.47233	0.023508	0.41594	0.03835	0.32461	0.47233	0.85462	0.32461	0.94773	0.72285	0.95746	0.3277	0.83419	0.80985	0.99497	0.091577	0.83632	0.80171
14	0.61731	0.49868	0.27256	0.0015042	0.4988	0.43088	0.1423	0.27256	0.63692	0.1423	0.43507	0.72574	0.8077	0.030853	0.38131	0.58078	0.91545	0.35384	0.92374	0.1944
15	0.13605	0.11944	0.014335	6.0535e-10	0.18367	0.84165	0.0017163	0.014335	0.9989	0.0017163	0.86504	0.29963	0.39422	0.60177	0.26793	0.31412	0.46416	0.20169	0.53779	0.54069
16	0.50843	0.50305	0.27786	0.0016562	0.49819	0.41521	0.14646	0.27786	0.66713	0.14646	0.91937	0.18617	0.02265	0.59791	0.35102	0.98483	0.065377	0.68942	0.66654	0.14084
17	0.92131	0.032604	0.0010634	1.3597e-15	0.051133	0.60173	3.4676e-05	0.0010634	0.69921	3.4676e-05	0.93178	0.14742	0.88169	0.94867	0.027312	0.13382	0.67638	0.98509	0.304	0.05497
18	0.0018385	0.71723	0.63972	0.10714	0.29412	0.024301	0.51166	0.63972	0.20701	0.51166	0.95943	0.93294	0.55342	0.69757	0.44675	0.42581	0.16646	0.75463	0.055669	0.42257
19	0.25906	0.50923	0.28546	0.0018955	0.4971	0.39312	0.15252	0.28546	0.70881	0.15252	0.29634	0.73207	0.62295	0.4603	0.27603	0.82246	0.0044578	0.50861	0.74863	0.95077
20	0.017456	0.66461	0.52849	0.041226	0.37818	0.005225	0.38419	0.52849	0.64268	0.38419	0.4439	0.2621	0.15305	0.85643	0.58372	0.44458	0.65806	0.88813	0.70713	0.47514
21	0.42596	0.71205	0.62792	0.097617	0.30345	0.017651	0.49757	0.62792	0.24594	0.49757	0.50113	0.051102	0.42475	0.98699	0.84109	0.20421	0.91143	0.2247	0.71248	0.61684
22	0.9572	0.32705	0.11101	1.6856e-05	0.43289	0.93326	0.036985	0.11101	0.067481	0.036985	0.40922	0.48266	0.26149	0.61085	0.095351	0.42795	0.031086	0.2879	0.46641	0.30704
23	0.30175	0.12779	0.01642	1.1935e-09	0.19589	0.86046	0.002104	0.01642	0.99961	0.002104	0.87789	0.58248	0.98106	0.16995	0.50504	0.78322	0.38539	0.14735	0.1609	0.6856
24	0.36229	0.16348	0.026966	1.4258e-08	0.24665	0.92911	0.0044281	0.026966	0.94051	0.0044281	0.74691	0.71451	0.77456	0.89161	0.18606	0.51606	0.075903	0.94861	0.44805	0.55008
25	0.65522	0.50488	0.2801	0.001724	0.49789	0.40865	0.14824	0.2801	0.67962	0.14824	0.22015	0.59898	0.75291	0.78084	0.13298	0.33794	0.59718	0.19666	0.83161	0.36406
26	0.65447	0.66236	0.52412	0.039551	0.38126	0.0066761	0.37944	0.52412	0.66069	0.37944	0.10476	0.93305	0.40495	0.45027	0.41633	0.23078	0.7658	0.62683	0.90288	0.72599
27	0.46752	0.55315	0.34356	0.0047864	0.4818	0.24241	0.20137	0.34356	0.94156	0.20137	0.96226	0.51554	0.25447	0.92485	0.43838	0.64688	0.022261	0.29061	0.055446	0.94268
