0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0.088618	0.088502	0.0078531	2.9868e-11	0.27482	0.52847	0.00069592	0.031412	0.8973	0.0027837	0.26604	0.7709	0.53279	0.46027	0.33597	0.39193	0.37355	0.37095	0.85014	0.26931
2	0.48276	0.46423	0.23306	0.00068757	0.99853	0.10811	0.11251	0.93223	-0.21495	0.45004	0.91537	0.44282	0.094587	0.34981	0.44138	0.62115	0.67055	0.55071	0.40629	0.80924
3	0.90155	0.78429	0.81278	0.35471	0.30439	-0.5799	0.73276	3.2511	-0.94487	2.9311	0.45311	0.52555	0.8466	0.46386	0.78915	0.40005	0.70062	0.028255	0.80178	0.51655
4	0.5778	0.54618	0.33386	0.0041476	0.97028	-0.46961	0.1929	1.3354	0.82921	0.77161	0.37864	0.92574	0.30726	0.88038	0.17038	0.45689	0.9396	0.86537	0.92246	0.59694
5	0.96931	0.8245	0.93957	0.73223	0.096251	-0.19161	0.91074	3.7583	-0.37612	3.643	0.84784	0.61145	0.076612	0.11967	0.30627	0.37106	0.28988	0.36748	0.48447	0.88879
6	0.45724	0.44147	0.20907	0.00039944	0.99099	0.26544	0.095595	0.83628	-0.51184	0.38238	0.878	0.68273	0.27357	0.95429	0.80741	0.44645	0.8197	0.41818	0.22588	0.40282
7	0.80146	0.71837	0.64234	0.10935	0.58407	-0.94818	0.51481	2.5693	-0.60252	2.0592	0.25989	0.66739	0.70541	0.4469	0.23389	0.24675	0.38091	0.74802	0.86405	0.36952
8	0.33386	0.32769	0.11146	1.7205e-05	0.86685	0.86436	0.037213	0.44585	-0.86932	0.14885	0.32704	0.050388	0.26517	0.59873	0.80069	0.021174	0.19431	0.17974	0.65627	0.30789
9	0.1271	0.12676	0.016154	1.1001e-09	0.38877	0.71637	0.0020532	0.064617	0.99965	0.0082128	0.95805	0.90694	0.87235	0.51956	0.89364	0.11383	0.27357	0.8472	0.28511	0.95932
10	0.55355	0.52571	0.30642	0.0027012	0.98588	-0.33014	0.16962	1.2257	0.62327	0.67847	0.72281	0.30825	0.92924	0.95331	0.81189	0.99853	0.94508	0.8868	0.38027	0.54657
11	0.65988	0.61302	0.43544	0.015654	0.87649	-0.84392	0.28734	1.7418	0.90548	1.1493	0.20905	0.84788	0.26653	0.87707	0.53186	0.12705	0.047855	0.35893	0.065641	0.097352
12	0.23928	0.237	0.057254	6.1522e-07	0.68289	0.99773	0.0137	0.22902	0.13433	0.054799	0.65878	0.73443	0.36351	0.71743	0.66059	0.28802	0.39499	0.83973	0.034333	0.46299
13	0.017917	0.017916	0.00032103	3.4098e-18	0.056259	0.11234	5.752e-06	0.0012841	0.22326	2.3008e-05	0.096123	0.62701	0.81692	0.35447	0.23632	0.30658	0.39398	0.7324	0.40672	0.86245
14	0.18675	0.18567	0.034876	5.1601e-08	0.55362	0.92207	0.0065132	0.13951	0.71372	0.026053	0.90284	0.078516	0.10851	0.66681	0.59352	0.98754	0.8847	0.87872	0.055377	0.58596
15	0.066907	0.066857	0.0044765	1.7977e-12	0.20865	0.40812	0.00029951	0.017906	0.74516	0.001198	0.58229	0.2766	0.2041	0.51881	0.36038	0.14976	0.74422	0.64686	0.16587	0.88908
16	0.61399	0.57613	0.37699	0.0076143	0.93656	-0.65655	0.23147	1.5079	0.99045	0.92587	0.51081	0.24369	0.37307	0.44608	0.56889	0.16591	0.98858	0.27709	0.082192	0.060133
17	0.51198	0.4899	0.26212	0.0012374	0.99929	-0.075183	0.1342	1.0485	0.14994	0.5368	0.12537	0.54714	0.76927	0.053867	0.9858	0.45694	0.26643	0.72557	0.79645	0.6184
18	0.48787	0.46875	0.23802	0.00076398	0.99927	0.076111	0.11612	0.95209	-0.15178	0.4645	0.37183	0.020322	0.10949	0.57254	0.75686	0.23225	0.4727	0.59497	0.52748	0.3482
19	0.31022	0.30527	0.096236	8.2545e-06	0.82747	0.92927	0.029854	0.38494	-0.68656	0.11942	0.23653	0.12105	0.94853	0.97735	0.80653	0.59806	0.14103	0.95976	0.96161	0.091244
20	0.48436	0.46564	0.23461	0.0007107	0.99879	0.098107	0.11363	0.93842	-0.19527	0.45453	0.9353	0.93175	0.80655	0.19186	0.26737	0.33675	0.90264	0.54671	0.74141	0.28487
21	0.094251	0.094111	0.0088832	5.5315e-11	0.29179	0.55818	0.00083724	0.035533	0.92627	0.003349	0.68975	0.16929	0.57911	0.52441	0.70923	0.78544	0.94142	0.86479	0.66707	0.31444
22	0.92392	0.79797	0.85363	0.45326	0.23674	-0.46002	0.78869	3.4145	-0.81692	3.1547	0.27759	0.80516	0.031027	0.34501	0.046405	0.77789	0.85543	0.74152	0.43849	0.29302
23	0.033229	0.033223	0.0011041	1.6411e-15	0.1042	0.20727	3.6689e-05	0.0044166	0.40553	0.00014676	0.91585	0.084342	0.91982	0.13698	0.67397	0.079817	0.37152	0.13256	0.35441	0.099493
24	0.73189	0.66828	0.53567	0.044104	0.74616	-0.99354	0.39205	2.1427	0.22558	1.5682	0.47725	0.90904	0.42423	0.045551	0.89323	0.79398	0.52203	0.047272	0.42075	0.042582
25	0.21369	0.21207	0.045664	1.9854e-07	0.62203	0.97409	0.0097579	0.18265	0.44061	0.039032	0.50676	0.36485	0.28522	0.57805	0.13165	0.24381	0.36036	0.91057	0.80374	0.42372
26	0.31737	0.31207	0.10072	1.0367e-05	0.83987	0.91174	0.031967	0.4029	-0.74904	0.12787	0.93087	0.029545	0.23973	0.29893	0.7154	0.30788	0.7493	0.34754	0.047833	0.13207
27	0.87189	0.76554	0.76019	0.25387	0.3917	-0.7208	0.6628	3.0408	-0.99924	2.6512	0.49334	0.92042	0.46145	0.60033	0.64056	0.73725	0.30169	0.12012	0.87627	0.6633
28	0.22482	0.22293	0.050542	3.298e-07	0.64901	0.98751	0.011363	0.20217	0.31123	0.04545	0.25768	0.45747	0.6188	0.5181	0.48426	0.81551	0.97286	0.75366	0.16604	0.69895
29	0.83317	0.74007	0.69418	0.1612	0.50043	-0.86652	0.57837	2.7767	-0.86503	2.3135	0.28936	0.054808	0.0037212	0.58016	0.19015	0.19277	0.7333	0.15535	0.94641	0.54284
30	0.89188	0.77826	0.79546	0.31848	0.33317	-0.62826	0.70945	3.1818	-0.97758	2.8378	0.7239	0.78657	0.69768	0.23774	0.33125	0.51552	0.57154	0.45469	0.47598	0.02809
31	0.27478	0.27134	0.075506	2.4542e-06	0.75996	0.9879	0.020748	0.30202	-0.30643	0.082991	0.092436	0.80077	0.92786	0.327	0.74434	0.53063	0.094539	0.21805	0.026316	0.34523
32	0.85379	0.75378	0.72895	0.20583	0.44335	-0.7948	0.62237	2.9158	-0.96468	2.4895	0.55193	0.29694	0.83508	0.9338	0.56629	0.15676	0.66591	0.26391	0.35803	0.98182
33	0.28037	0.27671	0.078609	3.0016e-06	0.77126	0.98185	0.02204	0.31443	-0.37247	0.088159	0.96812	0.17091	0.61625	0.91789	0.4844	0.85728	0.73154	0.38055	0.89731	0.56795
34	0.90375	0.78565	0.81677	0.36349	0.29778	-0.56855	0.73816	3.2671	-0.93543	2.9526	0.25894	0.50549	0.54187	0.91102	0.51731	0.22989	0.36673	0.67645	0.10748	0.72208
35	0.028538	0.028534	0.00081442	3.5831e-16	0.089535	0.17835	2.3242e-05	0.0032577	0.35098	9.2969e-05	0.29941	0.76979	0.72735	0.49338	0.86066	0.72323	0.49627	0.43207	0.83175	0.41275
36	0.384	0.37464	0.14746	6.9721e-05	0.93433	0.66599	0.056625	0.58984	-0.99361	0.2265	0.29358	0.24809	0.67635	0.078433	0.015341	0.79957	0.23178	0.17059	0.59086	0.45395
37	0.079488	0.079404	0.0063184	1.007e-11	0.24713	0.47893	0.00050224	0.025273	0.84086	0.0020089	0.10554	0.43096	0.56417	0.51537	0.40829	0.78182	0.2662	0.39021	0.40256	0.30504
38	0.46327	0.44688	0.21462	0.00045539	0.99335	0.22871	0.099429	0.85849	-0.4453	0.39772	0.45469	0.35122	0.89009	0.51782	0.066103	0.43715	0.99889	0.74054	0.44585	0.20448
39	0.056761	0.056731	0.0032218	3.4715e-13	0.17738	0.34913	0.00018288	0.012887	0.65432	0.0007315	0.79734	0.60355	0.044839	0.45669	0.82311	0.95789	0.91312	0.86017	0.49108	0.06027
40	0.98286	0.83209	0.96601	0.84124	0.05382	-0.10748	0.94946	3.8641	-0.21372	3.7978	0.63654	0.31813	0.90264	0.90527	0.68816	0.25361	0.57911	0.92933	0.71429	0.15107
41	0.38988	0.38007	0.152	8.1148e-05	0.94075	0.63802	0.059263	0.60802	-0.98258	0.23705	0.93422	0.036932	0.53033	0.44134	0.69145	0.21309	0.38726	0.33767	0.63641	0.65718
42	0.73838	0.67309	0.54521	0.048175	0.73244	-0.99734	0.40257	2.1808	0.14546	1.6103	0.13109	0.12531	0.38432	0.70498	0.30477	0.14699	0.16628	0.90759	0.46233	0.59603
43	0.52616	0.50222	0.27685	0.0016262	0.99662	-0.16364	0.14567	1.1074	0.32286	0.58266	0.090777	0.19723	0.28635	0.5577	0.47034	0.78258	0.83967	0.83951	0.66098	0.40622
44	0.57205	0.54136	0.32724	0.0037526	0.97449	-0.43739	0.1872	1.309	0.78666	0.74879	0.5858	0.93883	0.41874	0.85222	0.5328	0.48611	0.2989	0.39486	0.9969	0.6206
45	0.713	0.65411	0.50837	0.033954	0.78434	-0.9731	0.36247	2.0335	0.44838	1.4499	0.64972	0.8012	0.89268	0.96131	0.85665	0.070538	0.69288	0.073637	0.23854	0.11992
46	0.53427	0.50922	0.28545	0.0018952	0.99421	-0.21369	0.15251	1.1418	0.41751	0.61003	0.86126	0.48246	0.31441	0.042311	0.98485	0.17712	0.15283	0.072884	0.66077	0.3729
47	0.53863	0.51296	0.29013	0.0020556	0.99264	-0.24036	0.15627	1.1605	0.46663	0.62509	0.16914	0.79822	0.8813	0.5385	0.98228	0.68627	0.53367	0.50166	0.21881	0.067351
48	0.75838	0.68775	0.57514	0.06293	0.68825	-0.99861	0.43617	2.3006	-0.1051	1.7447	0.33138	0.084418	0.83752	0.8549	0.067657	0.66503	0.1604	0.52809	0.575	0.54485
49	0.78023	0.70344	0.60875	0.083599	0.63688	-0.98202	0.47496	2.435	-0.37075	1.8999	0.70436	0.37105	0.44057	0.7277	0.39924	0.82223	0.033619	0.959	0.57888	0.80479
50	0.072104	0.072041	0.005199	3.7983e-12	0.22459	0.4377	0.00037487	0.020796	0.78709	0.0014995	0.20111	0.93382	0.47651	0.92918	0.58393	0.88401	0.95537	0.52287	0.28759	0.91507
51	0.29236	0.28822	0.085477	4.563e-06	0.79469	0.96478	0.02499	0.34191	-0.50758	0.099962	0.38973	0.46584	0.083797	0.62875	0.27924	0.89826	0.11634	0.715	0.63898	0.55232
52	0.091893	0.091764	0.0084443	4.2936e-11	0.2847	0.54583	0.00077597	0.033777	0.9147	0.0031039	0.49873	0.10666	0.75175	0.31016	0.080512	0.1318	0.52318	0.26156	0.78009	0.99811
53	0.27709	0.27356	0.07678	2.6684e-06	0.76466	0.98555	0.021275	0.30712	-0.33392	0.085101	0.43737	0.49625	0.54373	0.20585	0.84281	0.48473	0.74998	0.94199	0.53813	0.59326
54	0.04734	0.047322	0.002241	5.6527e-14	0.14817	0.29308	0.00010609	0.0089642	0.56042	0.00042436	0.17721	0.87163	0.68632	0.31014	0.22495	0.70263	0.50741	0.77193	0.49828	0.88082
55	0.31837	0.31302	0.10136	1.0697e-05	0.84157	0.90915	0.032269	0.40543	-0.75726	0.12907	0.88725	0.72876	0.78518	0.58519	0.54992	0.70802	0.36101	0.78003	0.62422	0.86224
56	0.95113	0.81407	0.90465	0.60591	0.15292	-0.30224	0.86044	3.6186	-0.57621	3.4418	0.82755	0.45041	0.62769	0.64788	0.38477	0.7892	0.484	0.91147	0.48044	0.53893
57	0.25173	0.24908	0.063366	1.0216e-06	0.71093	0.99994	0.015951	0.25346	-0.021677	0.063803	0.48176	0.2969	0.69387	0.73354	0.16592	0.34557	0.25077	0.83087	0.91911	0.97177
58	0.43416	0.42065	0.18849	0.00023794	0.97868	0.40201	0.081835	0.75397	-0.73618	0.32734	0.53241	0.55264	0.20873	0.22718	0.70864	0.63733	0.86305	0.48233	0.10684	0.12909
59	0.39704	0.38669	0.15764	9.7346e-05	0.94814	0.60274	0.062589	0.63056	-0.9619	0.25035	0.80799	0.96522	0.61792	0.067792	0.14183	0.16348	0.082865	0.21998	0.12309	0.00088558
60	0.062819	0.062778	0.0039462	9.5699e-13	0.19607	0.38453	0.0002479	0.015785	0.70994	0.00099159	0.76505	0.25668	0.12346	0.706	0.62916	0.52338	0.99861	0.88223	0.9599	0.019096
61	0.49264	0.47296	0.2427	0.00084203	0.99973	0.046206	0.11956	0.97079	-0.092313	0.47825	0.26508	0.45923	0.1164	0.55899	0.36691	0.15533	0.83667	0.23126	0.92103	0.64863
62	0.074685	0.074616	0.0055779	5.3995e-12	0.23248	0.45223	0.00041659	0.022312	0.80669	0.0016663	0.41994	0.25294	0.83695	0.49491	0.68324	0.52811	0.51562	0.21095	0.50713	0.99787
63	0.18029	0.17931	0.032504	3.628e-08	0.53659	0.9056	0.0058601	0.13002	0.7682	0.02344	0.6322	0.30316	0.69869	0.70683	0.55221	0.92927	0.22567	0.20844	0.69838	0.29182
64	0.17124	0.1704	0.029323	2.1678e-08	0.51239	0.88003	0.0050212	0.11729	0.83589	0.020085	0.48902	0.02077	0.015754	0.78138	0.87409	0.11776	0.8828	0.95817	0.34543	0.4326
65	0.36528	0.35721	0.13343	4.2295e-05	0.91177	0.74894	0.04874	0.53372	-0.99255	0.19496	0.86052	0.76619	0.70784	0.2042	0.67646	0.38929	0.24237	0.79591	0.21103	0.3987
66	0.94731	0.81185	0.8974	0.58199	0.16478	-0.32505	0.85011	3.5896	-0.6148	3.4004	0.019055	0.57635	0.29769	0.56304	0.29043	0.74374	0.6818	0.81349	0.70826	0.46479
67	0.088428	0.088313	0.0078195	2.9235e-11	0.27425	0.52746	0.00069146	0.031278	0.89624	0.0027659	0.30771	0.96606	0.76326	0.11456	0.31477	0.16384	0.055689	0.11162	0.054876	0.28865
68	0.82384	0.73376	0.67872	0.14403	0.5256	-0.89428	0.55916	2.7149	-0.80038	2.2366	0.061379	0.69478	0.30225	0.57068	0.5599	0.84505	0.26489	0.49054	0.30197	0.4374
69	0.40957	0.39821	0.16775	0.00013282	0.95991	0.53811	0.068704	0.67099	-0.90712	0.27481	0.95174	0.67167	0.96762	0.3271	0.45465	0.21746	0.90438	0.90698	0.68728	0.86696
70	0.93322	0.80354	0.87089	0.50098	0.20827	-0.40741	0.81273	3.4836	-0.74413	3.2509	0.4019	0.013652	0.93091	0.64403	0.85662	0.19249	0.12106	0.95142	0.33968	0.14422
71	0.085527	0.085422	0.0073148	2.0942e-11	0.26547	0.51189	0.00062561	0.029259	0.87948	0.0025024	0.13463	0.26007	0.27102	0.16066	0.99301	0.54816	0.85232	0.6648	0.41709	0.15387
72	0.32451	0.31884	0.10531	1.295e-05	0.85183	0.8924	0.034173	0.42122	-0.80537	0.13669	0.16461	0.47458	0.09941	0.68598	0.20128	0.66099	0.32328	0.01782	0.56847	0.4733
73	0.16945	0.16864	0.028715	1.9521e-08	0.50756	0.87465	0.0048658	0.11486	0.84799	0.019463	0.1389	0.50373	0.89382	0.40265	0.43655	0.84435	0.31107	0.75206	0.77611	0.54795
74	0.1695	0.16869	0.028729	1.9571e-08	0.50768	0.87478	0.0048695	0.11492	0.8477	0.019478	0.65672	0.18643	0.28419	0.60773	0.4028	0.81947	0.30586	0.45617	0.17043	0.15705
75	0.72923	0.66629	0.53177	0.042523	0.75171	-0.99149	0.38778	2.1271	0.25808	1.5511	0.072496	0.14367	0.4593	0.14112	0.57531	0.91557	0.95075	0.039171	0.50791	0.13348
76	0.22581	0.2239	0.050991	3.4474e-07	0.65139	0.98847	0.011515	0.20397	0.29929	0.046058	0.3974	0.30861	0.11523	0.45197	0.98026	0.88576	0.1372	0.28177	0.35112	0.27153
