0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0.25209	0.058751	0.2016	0.16597	0.064815	0.014758	0.16242	0.09178	0.10179	0.019142	0.8645	0.30452	0.10208	0.039991	0.082773	0.019411	0.017182	0.13992	0.196	0.032094
2	0.37733	0.091981	0.32421	0.25132	0.1051	0.023097	0.25925	0.14424	0.16496	0.031199	0.58543	0.18876	0.10831	0.07048	0.10071	0.063612	0.11217	0.30563	0.25085	0.021561
3	0.10114	0.022873	0.077285	0.066035	0.024737	0.0057471	0.062522	0.03565	0.038863	0.007286	0.46484	0.090261	0.055717	0.058001	0.24026	0.014289	0.18749	0.37736	0.077504	0.24087
4	0.33023	0.07898	0.27508	0.21889	0.088834	0.019836	0.22071	0.12365	0.13947	0.026309	0.91554	0.19673	0.091977	0.14285	0.18711	0.072907	0.15628	0.14372	0.16161	0.18389
5	0.43828	0.10993	0.39514	0.29393	0.12893	0.027596	0.31418	0.17284	0.20226	0.038435	0.53593	0.02031	0.095692	0.15146	0.19301	0.064484	0.10918	0.17981	0.13397	0.013288
6	0.042218	0.009503	0.032036	0.027528	0.010247	0.0023878	0.025932	0.014806	0.0161	0.0030171	0.38741	0.21087	0.046639	0.10765	0.00093056	0.0080249	0.11473	0.15509	0.22519	0.15511
7	0.16971	0.038783	0.13172	0.11113	0.042221	0.0097438	0.10641	0.060494	0.066325	0.012447	0.25739	0.22852	0.10622	0.0072513	0.037068	0.092959	0.18132	0.34464	0.20971	0.10519
8	0.3342	0.08005	0.27906	0.22161	0.090145	0.020104	0.22384	0.12534	0.14153	0.026702	0.47555	0.17722	0.08523	0.15709	0.099576	0.039903	0.13368	0.17956	0.055356	0.18631
9	0.36004	0.087127	0.30567	0.23936	0.098937	0.02188	0.24475	0.13654	0.15531	0.029343	0.69484	0.040233	0.11185	0.011549	0.33981	0.062722	0.20836	0.11026	0.23088	0.19816
10	0.078439	0.017699	0.059737	0.051182	0.019114	0.0044472	0.04834	0.027582	0.03003	0.0056289	0.36013	0.24042	0.090035	0.15626	0.3791	0.080187	0.14885	0.35492	0.17664	0.24153
11	0.37664	0.091784	0.32345	0.25084	0.10484	0.023048	0.25866	0.14393	0.16456	0.031123	0.28918	0.0077976	0.092134	0.043058	0.2399	0.027219	0.19333	0.028303	0.2272	0.16711
12	0.32983	0.078873	0.27468	0.21862	0.088704	0.019809	0.22039	0.12348	0.13927	0.02627	0.6177	0.055656	0.04815	0.05283	0.35426	0.017371	0.10241	0.36781	0.15896	0.22444
13	0.095905	0.021678	0.073224	0.062609	0.023435	0.0054467	0.059241	0.033785	0.036818	0.0069023	0.84284	0.14535	0.056996	0.047124	0.32067	0.075711	0.19756	0.10226	0.24641	0.21996
14	0.015097	0.0033954	0.011442	0.0098418	0.0036594	0.00085315	0.0092625	0.0052899	0.0057494	0.0010773	0.13635	0.26247	0.1128	0.11258	0.28627	0.071462	0.16388	0.37347	0.027527	0.088933
15	0.24358	0.056634	0.19409	0.16026	0.062374	0.014227	0.15642	0.088456	0.097964	0.018417	0.038662	0.15473	0.096304	0.14881	0.15595	0.048663	0.085105	0.31871	0.074221	0.19518
16	0.39751	0.097772	0.34668	0.26535	0.11259	0.024549	0.27674	0.15344	0.1767	0.033467	0.53886	0.31416	0.11271	0.010961	0.12966	0.097314	0.14964	0.053055	0.24285	0.16739
17	0.25598	0.059726	0.20508	0.16858	0.065943	0.015003	0.16519	0.093312	0.10357	0.019478	0.68151	0.10041	0.065293	0.0026752	0.38602	0.08405	0.053263	0.33952	0.020136	0.18126
18	0.4103	0.10152	0.36142	0.27428	0.11754	0.025489	0.28817	0.15941	0.18444	0.034966	0.66509	0.32803	0.093172	0.053529	0.10469	0.10311	0.20793	0.25136	0.11872	0.01311
19	0.055854	0.012582	0.04243	0.036428	0.013574	0.0031614	0.034343	0.019605	0.021326	0.0039967	0.24788	0.028497	0.10249	0.12165	0.29819	0.059572	0.20327	0.043053	0.24568	0.24088
20	0.2825	0.06645	0.2292	0.18645	0.073798	0.016691	0.18439	0.10388	0.11589	0.021816	0.0144	0.26718	0.095099	0.15894	0.051143	0.075629	0.19088	0.23242	0.25813	0.088502
21	0.3786	0.092341	0.3256	0.2522	0.10556	0.023187	0.26033	0.14481	0.16568	0.031338	0.89357	0.13181	0.10984	0.10139	0.098356	0.037996	0.068876	0.37438	0.059541	0.028845
22	0.28871	0.068046	0.23497	0.19065	0.075683	0.017092	0.18898	0.1064	0.11885	0.022378	0.19908	0.3077	0.10836	0.10236	0.37803	0.086802	0.15584	0.12373	0.25778	0.24387
23	0.36752	0.089216	0.31362	0.24453	0.10157	0.022404	0.25097	0.13985	0.15944	0.030137	0.35098	0.1888	0.084634	0.060646	0.32893	0.066152	0.20074	0.061838	0.073421	0.18273
24	0.39815	0.097957	0.3474	0.26579	0.11284	0.024596	0.2773	0.15374	0.17708	0.03354	0.69361	0.1271	0.054082	0.094144	0.12221	0.065009	0.095637	0.18349	0.020838	0.14096
25	0.019985	0.0044951	0.015148	0.013028	0.0048448	0.0011295	0.012263	0.0070033	0.007612	0.0014264	0.91208	0.11179	0.10377	0.11072	0.11661	0.096885	0.11135	0.25124	0.05544	0.013199
26	0.16825	0.038439	0.13053	0.11017	0.041839	0.0096574	0.10546	0.059957	0.065725	0.012334	0.43667	0.22647	0.11235	0.12923	0.356	0.051859	0.1756	0.255	0.045187	0.14652
27	0.01922	0.004323	0.014568	0.01253	0.0046593	0.0010862	0.011793	0.0067351	0.0073204	0.0013717	0.21091	0.078079	0.068701	0.078547	0.32426	0.026639	0.18221	0.22915	0.17058	0.19357
28	0.22028	0.050903	0.17388	0.14469	0.055827	0.012788	0.14026	0.079467	0.087687	0.016474	0.86209	0.32178	0.018366	0.019559	0.084694	0.07016	0.13993	0.14434	0.20304	0.13488
29	0.068332	0.015406	0.051976	0.044576	0.016629	0.003871	0.042064	0.024006	0.026126	0.0048967	0.25162	0.12053	0.057315	0.09766	0.10362	0.09255	0.15799	0.25271	0.20108	0.10005
30	0.17329	0.039628	0.13464	0.1135	0.043161	0.0099561	0.10876	0.061816	0.0678	0.012725	0.82297	0.20217	0.031631	0.018069	0.2157	0.06611	0.14554	0.33111	0.24573	0.19225
31	0.063712	0.01436	0.048437	0.041559	0.015496	0.003608	0.039202	0.022375	0.024346	0.004563	0.72008	0.063189	0.079652	0.013161	0.027733	0.056376	0.20545	0.34626	0.21684	0.20578
32	0.040325	0.0090762	0.030596	0.026293	0.0097865	0.0022805	0.024766	0.014141	0.015376	0.0028814	0.83967	0.20664	0.032211	0.048635	0.21174	0.064685	0.12107	0.38196	0.25397	0.15166
33	0.34421	0.082768	0.28922	0.22847	0.093496	0.020786	0.23184	0.12963	0.14678	0.027708	0.88836	0.32194	0.10567	0.087591	0.047716	0.0037363	0.10463	0.34569	0.010475	0.16595
34	0.042027	0.0094599	0.03189	0.027403	0.010201	0.0023769	0.025814	0.014739	0.016027	0.0030034	0.8307	0.26027	0.026172	0.019657	0.21137	0.066847	0.12831	0.22417	0.065359	0.05377
35	0.12649	0.028701	0.097128	0.082667	0.031102	0.0072111	0.078542	0.044744	0.048861	0.0091632	0.33241	0.30174	0.085085	0.066017	0.3823	0.021306	0.18929	0.15398	0.2437	0.10961
36	0.090361	0.020412	0.068931	0.058979	0.022059	0.0051288	0.055772	0.031812	0.034657	0.0064968	0.89234	0.21533	0.031563	0.00047014	0.29828	0.0047723	0.10059	0.18361	0.025506	0.064953
37	0.45335	0.11458	0.41425	0.30459	0.13543	0.028764	0.32881	0.1803	0.21243	0.040426	0.77479	0.16715	0.0734	0.15006	0.27737	0.057709	0.074909	0.13475	0.18674	0.21411
38	0.052635	0.011854	0.039973	0.034326	0.012787	0.0029786	0.032355	0.018471	0.02009	0.0037651	0.88546	0.29104	0.11007	0.14113	0.022796	0.025517	0.087084	0.24225	0.048414	0.044528
39	0.26464	0.061904	0.21285	0.1744	0.068472	0.01555	0.17139	0.096733	0.10753	0.02023	0.72627	0.27896	0.078634	0.11961	0.3749	0.079914	0.14486	0.11305	0.054224	0.13595
40	0.083253	0.018794	0.063444	0.05433	0.020302	0.0047222	0.051337	0.029288	0.031896	0.0059788	0.73392	0.045977	0.0746	0.14994	0.24806	0.063356	0.089847	0.2135	0.11028	0.11683
