0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0.12451	0.025347	0.017717	0.072339	2.0818e-05	0.061681	0.039809	0.099406	0.023332	0.091352	0.42461	0.26498	0.20248	0.78364	0.72756	0.49539	0.15187	0.81187	0.011399	0.26715
2	0.9319	0.25588	0.18404	0.62503	0.00023203	0.55113	0.37983	0.79514	0.2373	0.74875	0.235	0.1513	0.39894	0.35788	0.14871	0.0050303	0.0019042	0.76811	0.11472	0.01067
3	0.0019838	0.00036397	0.0002536	0.0010945	2.9583e-07	0.00089919	0.00061559	0.0015318	0.00033476	0.0013561	0.95024	0.92036	0.71673	0.67354	0.17629	0.4209	0.027661	0.74069	0.64395	0.098019
4	0.040225	0.0079061	0.005514	0.022948	6.4464e-06	0.019441	0.012561	0.031806	0.0072734	0.029056	0.035833	0.3229	0.061838	0.52803	0.34981	0.0015202	0.70939	0.23294	0.23496	0.84808
5	0.79308	0.20638	0.14753	0.51937	0.0001831	0.45535	0.30959	0.66959	0.19109	0.62817	0.021882	0.17565	0.78489	0.88852	0.50989	0.84162	0.0038533	0.13643	0.82447	0.18485
6	0.44191	0.10089	0.071191	0.27211	8.5539e-05	0.2352	0.15505	0.36279	0.093104	0.33699	0.56103	0.88867	0.99383	0.18072	0.94762	0.021167	0.30287	0.029929	0.27522	0.77506
7	0.79377	0.20661	0.1477	0.51989	0.00018333	0.45581	0.30993	0.67021	0.19131	0.62876	0.94232	0.1045	0.34916	0.708	0.0096167	0.67811	0.78504	0.033936	0.73971	0.25781
8	0.87119	0.23362	0.16757	0.57826	0.00020977	0.50861	0.34842	0.73994	0.2165	0.69564	0.17723	0.0010178	0.2769	0.75354	0.31485	0.88602	0.092527	0.96955	0.48719	0.15748
9	0.47149	0.10881	0.076855	0.29185	9.2565e-05	0.25257	0.1669	0.38803	0.10044	0.36075	0.8286	0.96136	0.99841	0.017746	0.76891	0.26495	0.24958	0.012488	0.27598	0.40859
10	0.0015623	0.00028395	0.00019784	0.00085814	2.3078e-07	0.00070154	0.00048511	0.0012023	0.00026116	0.001059	0.6535	0.84415	0.25566	0.83798	0.11559	0.047579	0.85187	0.060165	0.55669	0.089306
11	0.21223	0.044611	0.031257	0.12537	3.6936e-05	0.10734	0.069594	0.17083	0.041091	0.15754	0.55998	0.010411	0.70383	0.50362	0.25058	0.19256	0.77268	0.69469	0.12388	0.62033
12	0.39804	0.089446	0.063023	0.24318	7.5466e-05	0.20983	0.13785	0.32558	0.082509	0.30204	0.29523	0.28774	0.015613	0.82594	0.3348	0.16851	0.24318	5.7911e-06	0.0091072	0.26266
13	0.27255	0.058544	0.041091	0.16279	4.8756e-05	0.13974	0.090959	0.22056	0.053949	0.20381	0.08217	0.37748	0.14192	0.5249	0.23875	0.76165	0.19074	0.56041	0.22812	0.23389
14	0.77809	0.20132	0.14383	0.50824	0.00017822	0.44531	0.30234	0.65618	0.18637	0.61533	0.41434	0.22441	0.86851	0.0093255	0.0013728	0.97342	0.6774	0.026614	0.075998	0.62311
15	0.0005707	9.8157e-05	6.8389e-05	0.00030549	7.977e-08	0.00024254	0.00017794	0.00043063	9.0278e-05	0.00036808	0.93535	0.92446	0.041291	0.59686	0.083407	0.62656	0.70139	0.62912	0.20013	0.11941
16	0.05997	0.011899	0.0083029	0.03438	9.7181e-06	0.029189	0.018828	0.047548	0.010948	0.043527	0.72715	0.48167	0.19158	0.84241	0.21797	0.93324	0.00036968	0.76194	0.67143	0.73651
17	0.64662	0.1592	0.11314	0.41281	0.00013838	0.35976	0.24133	0.53973	0.14718	0.50429	0.75413	0.49286	0.30633	0.11396	0.43254	0.53086	0.11869	1.2967e-05	0.01527	0.88766
18	0.53718	0.12699	0.089897	0.3364	0.00010887	0.29189	0.19394	0.44446	0.11729	0.414	0.46823	0.89331	0.43148	0.22068	0.0095125	0.044218	0.36493	0.78837	0.32791	0.81723
