0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	1.362	1.2008	1.413	0.34739	0.23897	1.1413	0.87809	0.6959	1.2217	1.1804	1.5235	0.31301	0.81194	0.95776	0.88221	0.56604	0.3088	1.2858	1.0555	0.52746
2	1.2728	1.1415	1.3275	0.33242	0.21498	1.1141	0.79912	0.65094	1.1753	1.1079	1.0421	0.80444	1.1892	1.2474	1.3586	0.89314	0.85764	1.1959	0.68657	0.56544
3	0.80567	0.87273	0.89378	0.26874	0.11227	0.99735	0.41444	0.45341	0.97102	0.76556	1.7942	1.2068	0.6964	1.3029	0.80388	0.33568	0.79834	1.6971	0.72869	0.7268
4	1.3215	1.1734	1.374	0.34042	0.22781	1.1287	0.84193	0.67505	1.2002	1.1471	1.6495	0.64846	0.94372	1.1653	1.3122	0.98809	0.53817	1.7488	1.1358	0.29018
5	0.84049	0.89121	0.9255	0.27298	0.11913	1.0052	0.44195	0.46677	0.98486	0.78964	1.5846	0.93226	0.59809	1.1668	1.0739	0.9975	0.12942	1.3478	1.22	0.81618
6	1.4664	1.2753	1.5146	0.36688	0.27012	1.1766	0.97355	0.75335	1.2809	1.2693	1.1394	0.4273	0.54584	0.79213	1.0767	0.50399	0.90229	1.4174	1.1772	0.88103
7	1.3872	1.2183	1.4374	0.35188	0.24616	1.1495	0.90083	0.70926	1.2355	1.2014	1.7038	0.64117	0.97708	1.2179	1.2552	0.17881	0.019773	1.2731	0.66475	0.47263
8	0.72465	0.83023	0.8202	0.25903	0.096558	0.97945	0.35081	0.42273	0.93926	0.71001	1.3435	0.42589	1.1682	0.50607	1.0193	0.72255	0.69485	1.4132	1.2102	0.21339
9	0.69792	0.81632	0.79596	0.25586	0.09143	0.97361	0.3299	0.41271	0.92887	0.69179	1.8222	0.67346	1.4168	0.73456	1.3854	0.75623	0.13898	1.8109	1.0868	1.0597
10	1.1197	1.047	1.1829	0.30942	0.17797	1.0721	0.66844	0.58056	1.1026	0.98993	1.0365	0.49132	1.2457	1.2363	1.0278	0.98938	0.073547	1.6457	1.0416	0.44444
11	1.0547	1.0092	1.1225	0.30043	0.16349	1.0556	0.61461	0.55274	1.0738	0.94191	0.91772	0.87904	1.4854	1.1998	1.1151	0.99577	0.99592	1.1688	1.1385	0.83163
12	1.3764	1.2107	1.4269	0.34993	0.24304	1.1459	0.89099	0.70346	1.2295	1.1923	1.3749	0.87626	1.4294	0.41641	1.0203	0.51452	0.85444	1.8534	0.41418	0.72936
13	1.2829	1.148	1.3371	0.33405	0.21759	1.1171	0.80792	0.65585	1.1804	1.1159	1.0983	0.54253	0.73744	1.2532	0.62751	0.13148	0.98489	1.749	1.2933	0.41632
14	0.99025	0.97276	1.0628	0.29186	0.14965	1.0399	0.56192	0.52604	1.0462	0.89519	1.6823	0.258	1.5143	1.2011	1.5622	0.66376	0.26819	1.6556	0.57913	0.14392
15	1.123	1.049	1.1861	0.30989	0.17874	1.073	0.67127	0.58204	1.1041	0.99246	1.0576	0.38261	1.0597	1.1702	0.66624	0.5383	0.67623	1.8334	0.41269	0.73372
16	0.64026	0.78646	0.74376	0.24907	0.080436	0.96109	0.28493	0.39121	0.9066	0.65263	1.049	1.016	0.71001	0.46238	1.1411	0.49642	0.67569	1.8493	0.69416	0.93821
17	1.4862	1.2901	1.5341	0.37088	0.27648	1.1838	0.99208	0.76495	1.2928	1.2867	1.6631	0.38866	0.94243	1.0634	1.5276	0.87619	0.097943	1.7277	1.0648	0.98794
18	0.94705	0.94883	1.023	0.28629	0.14064	1.0296	0.527	0.5086	1.0282	0.86436	1.4989	0.95402	1.5096	0.87154	0.91226	0.47341	0.28897	1.6908	0.58346	0.79252
19	0.90979	0.92848	0.98884	0.28157	0.13302	1.021	0.4971	0.49379	1.0128	0.83804	1.7832	0.65944	1.3624	0.85482	0.79562	0.83488	0.28826	1.4081	0.58715	0.70192
20	1.3646	1.2025	1.4155	0.34783	0.23969	1.1421	0.88037	0.69723	1.2231	1.1825	1.3794	0.65635	1.515	0.99193	0.70265	0.85765	0.72941	1.3594	1.1784	0.16912
21	1.4785	1.2843	1.5265	0.36931	0.27399	1.181	0.98485	0.76041	1.2881	1.2799	1.147	0.41763	0.68039	1.2274	1.2148	0.40801	0.1476	1.3894	1.1831	1.0947
22	1.0469	1.0047	1.1152	0.29937	0.16178	1.0537	0.60816	0.54945	1.0704	0.93618	1.1623	1.1976	1.2186	0.99292	0.632	0.55746	0.65196	1.4711	0.52342	0.19545
23	0.97148	0.96232	1.0455	0.28943	0.14572	1.0354	0.54671	0.51842	1.0383	0.88175	1.4931	1.2243	1.4361	0.68113	1.5774	0.11352	0.65429	1.6002	0.89998	1.0586
24	0.60718	0.76939	0.71384	0.24519	0.074155	0.95394	0.25917	0.37892	0.89387	0.63021	1.4052	0.56782	0.67275	0.79236	1.5155	0.9335	0.36294	1.869	1.2088	0.98718
25	1.181	1.0839	1.2405	0.31829	0.19226	1.0883	0.72012	0.60787	1.1308	1.0363	1.7734	0.64615	1.2766	0.73789	1.059	0.23057	0.059016	1.0967	0.48064	0.85993
26	1.5583	1.3463	1.6054	0.38636	0.30109	1.2116	1.0607	0.80934	1.3385	1.3518	0.9564	1.2372	0.64448	0.64578	1.1228	0.10625	0.087711	1.4126	0.57631	0.22487
27	1.3061	1.1632	1.3593	0.33786	0.2237	1.124	0.82836	0.66735	1.1922	1.1346	1.7967	1.1319	0.82386	0.48472	0.68059	0.24301	0.52043	1.8869	0.61623	1.1214
28	1.1419	1.0603	1.2038	0.31259	0.18308	1.0779	0.68711	0.59036	1.1127	1.0067	1.1208	0.41712	1.425	0.54158	1.2087	0.60659	0.2333	1.8307	0.5869	0.94268
29	0.95908	0.95546	1.0341	0.28783	0.14313	1.0325	0.5367	0.51342	1.0331	0.87291	1.608	1.093	1.2976	0.8855	1.1236	0.13363	0.41551	1.8282	0.64423	0.54179
